ID_couche,Angle Teta,E_1,E_2,G_12,u_12,u_16,u_26,sigma_1T,sigma_1C,sigma_2T,sigma_2C,sigma_6_plus,sigma_6_moins,sigma_b_plus,sigma_b_moins
1,0.0,27004.0,10093.490916351446,2450.6570241311924,0.3294,-0.0,-0.0,1000.0,-650.0,30.000000000000007,-120.00000000000003,45.0,-45.0,30.39173166145592,-118.45327012299438
2,10.0,21672.286871454682,9574.64869100422,2637.8561023762127,0.42125980010072517,1.0920818047950176,-0.2793022931104056,242.15969638761342,-256.5491198778155,30.610511196444804,-118.50313009360688,56.4235057664464,-37.796068479378015,30.391731661455918,-118.45327012299435
3,29.999999999999996,10105.284049798622,7693.536970488478,4496.6106370332445,0.5923133509122834,0.8130880602921218,-0.2056601838708928,72.27926551390455,-125.17097540854643,36.20769527090579,-111.07342334698606,97.04257394383268,-30.843528567641,30.39173166145594,-118.45327012299443
4,59.99999999999999,7693.536970488472,10105.284049798616,4496.610637033245,0.4509506750033791,-0.20566018387089263,0.8130880602921213,36.20769527090577,-111.07342334698603,72.27926551390452,-125.1709754085464,97.04257394383272,-30.843528567640995,30.39173166145592,-118.45327012299438
5,90.0,10093.490916351446,27004.0,2450.6570241311924,0.12312234883151263,-1.1465406582384394e-16,5.119198618647088e-16,30.000000000000007,-120.00000000000003,1000.0,-650.0,45.0,-45.0,30.39173166145592,-118.45327012299438
6,0.0,18841.21377680147,18841.21377680147,2382.568732993905,0.17812098407912524,-0.0,-0.0,650.0,-650.0,650.0,-650.0,50.0,-50.0,650.0,-650.0
7,10.0,16209.49852237692,16209.498522376924,2595.7391411783847,0.2929199332929793,0.7675278590457346,-0.7675278590457345,268.63683719598095,-268.63683719598095,268.6368371959809,-268.6368371959809,53.14643533217964,-53.14643533217964,650.0000000000003,-650.0000000000003
8,29.999999999999996,9231.618884998858,9231.618884998858,5032.151271153123,0.5973044022301064,0.5889325670108023,-0.5889325670108025,114.68108376172005,-114.68108376172005,114.68108376172003,-114.68108376172003,97.43911956946197,-97.43911956946197,649.9999999999975,-649.9999999999975
9,59.99999999999999,9231.618884998854,9231.618884998854,5032.151271153126,0.5973044022301063,-0.588932567010802,0.588932567010802,114.68108376172,-114.68108376172,114.68108376172,-114.68108376172,97.43911956946202,-97.43911956946202,649.9999999999975,-649.9999999999975
10,90.0,18841.21377680147,18841.21377680147,2382.568732993905,0.17812098407912524,-3.399435432203442e-16,3.3994354322034416e-16,650.0,-650.0,650.0,-650.0,50.0,-50.0,650.0,-650.0
